ct2010full,boro,count,pop0518,Pct_PrivVeh,medhhinc1,AADT1,frag_index
36047056500,Brooklyn,1,201,0.1631,79851,12132,1.793
36047056600,Brooklyn,4,313,0.3903,56438,18501,-1.2776
36047056800,Brooklyn,1,185,0.4029,82292,11823,-0.9402
36047056900,Brooklyn,5,99,0.0844,71603,10014,3.5564
36047057000,Brooklyn,9,323,0.3506,62653,19884,-2.1816
36047057100,Brooklyn,3,296,0.1081,60750,37662,1.2257
36047057200,Brooklyn,12,1211,0.1578,19933,13422,0.3538
36047057300,Brooklyn,3,206,0.1502,60781,37662,1.4968
36047057400,Brooklyn,0,385,0.4351,90263,10892,-3.1187
36047057500,Brooklyn,1,314,0.1681,63026,37662,3.6518
36047057600,Brooklyn,2,403,0.2961,63980,13600,-2.2791
36047057800,Brooklyn,7,552,0.1933,40577,44657,-1.5489
36047057900,Brooklyn,2,150,0.2212,47143,33250,3.3195
36047058000,Brooklyn,12,541,0.2526,39311,11175,-1.3567
36047058200,Brooklyn,3,553,0.1626,40046,11175,0.2097
36047058400,Brooklyn,5,463,0.3324,55786,6037,0.2961
36047058600,Brooklyn,3,387,0.2661,53636,3470,-1.5326
36047058800,Brooklyn,3,342,0.3474,67833,13228,-1.1946
36047058900,Brooklyn,1,149,0.1433,83750,13103,0.0329
36047059000,Brooklyn,8,319,0.3578,49063,13228,-1.5099
36047059100,Brooklyn,2,300,0.1789,66693,13103,1.7361
36047059200,Brooklyn,3,460,0.3096,54067,13228,-2.27
36047059300,Brooklyn,2,209,0.1787,62708,13103,2.124
36047059401,Brooklyn,18,988,0.3587,47593,21730,-1.091
