census_tract,ped_injury_5to18,youth_pop_5to18,commute_priv_vehicle,med_hhincome,avg_ann_daily_traffic,fragment_index
36005035600,7,416,0.36332574,56845,19345,-3.652573093
36005035800,19,1254,0.523794808,66639,21104,-3.081624379
36005035900,5,448,0.239940387,20708,223380,0.634103143
36005036000,7,396,0.485634198,82895,16572,-2.643621706
36005036100,20,1383,0.116647128,17380,9460,0.000453994
36005036300,32,1941,0.215384615,19396,21391,-0.629822142
36005036400,5,503,0.407010711,45288,21104,-1.518800126
36005036501,8,941,0.168165468,19747,21391,1.060673548
36005036502,12,584,0.199288256,18667,223380,1.7270776
36005036700,1,635,0.221813725,23224,10891,2.061847721
36005036800,4,427,0.482039397,61842,18427,-1.605897866
36005036901,15,485,0.159322034,17292,223380,2.896787191
36005036902,5,489,0.332840237,25313,223380,0.937389328
36005037000,2,471,0.490838959,52813,18427,-0.547958673
36005037100,23,843,0.247836349,19125,14936,3.178013141
36005037200,12,415,0.271794872,47625,18427,1.063667615
36005037300,18,1312,0.29527105,30365,14936,1.358080474
36005037400,29,694,0.215475024,22486,18427,0.333343435
36005037504,12,806,0.214428858,20959,14936,1.332668514
36005037600,3,399,0.291179596,49104,18427,-0.287282022
36005037800,12,600,0.383359253,40076,5595,-0.685763739
36005037900,23,1228,0.127425614,25085,17573,1.922904542
36005038000,16,830,0.23594053,34572,18427,0.600941044
36005038100,12,1253,0.185154976,24853,23255,0.552733515
36005038200,6,586,0.401969561,45256,7839,-2.321720257
36005038301,21,1059,0.196029777,24612,23255,1.48206784
36005038302,16,1511,0.101634684,16756,35267,0.591433818
36005038500,24,1195,0.217207334,18578,35267,1.638790208
36005038600,27,1486,0.323120567,52165,11169,2.289340355
36005038700,7,639,0.203222919,21190,35267,5.389375438
36005038800,7,537,0.447447447,56607,7839,-0.481936684
36005038900,21,1011,0.169671262,25953,35267,3.553952087
36005039000,8,674,0.339805825,34531,10157,2.419034197
36005039100,23,1624,0.243727599,24043,8997,1.723958815
